what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1324282863129
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1324282863140
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1324282863141
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1324282863150
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1324282863188
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1324282863194
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1324282863218
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1324282863220
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1324282863256
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1324282863258
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1324282863259
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1324282863261
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1324282863263
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1324282863274
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1324282863276
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1324282863278
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1324282863280
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1324282863319
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1324282863320
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1324282863321
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1324282863327
started,bundle,org.eclipse.mylyn.github.ui,1.1.0.201109151100-r,"org.eclipse.mylyn.github.ui",1324282863328
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1324282863359
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1324282863361
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1324282863362
os,sysinfo,,,"win32",1324282863372
arch,sysinfo,,,"x86_64",1324282863372
ws,sysinfo,,,"win32",1324282863372
locale,sysinfo,,,"en_US",1324282863372
processors,sysinfo,,,"1",1324282863372
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324282863372
java.runtime.version,sysinfo,,,"1.7.0-b147",1324282863372
java.specification.name,sysinfo,,,"Java Platform API Specification",1324282863372
java.specification.vendor,sysinfo,,,"Oracle Corporation",1324282863373
java.specification.version,sysinfo,,,"1.7",1324282863373
java.vendor,sysinfo,,,"Oracle Corporation",1324282863373
java.version,sysinfo,,,"1.7.0",1324282863373
java.vm.info,sysinfo,,,"mixed mode",1324282863373
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1324282863373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324282863373
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1324282863373
java.vm.specification.version,sysinfo,,,"1.7",1324282863373
java.vm.vendor,sysinfo,,,"Oracle Corporation",1324282863373
java.vm.version,sysinfo,,,"21.0-b17",1324282863373
